오브젝트 아이디,공간정보참조체계 코드,시군구명,공간정보
55,1000000395154G00110000000000100416,형제산구역,"SDE.ST_GEOMETRY(8,428,838815.4668,2117843.168,850027.103,2131899.891,NULL,NULL,NULL,NULL,82271690.15,49288.00253,19,'oracle.sql.BLOB@7373780c')"
56,1000000385034G00110000000000100455,강남군,"SDE.ST_GEOMETRY(8,578,828503.0128,2089532.434,846763.2886,2105277.171,NULL,NULL,NULL,NULL,149110306.3,64679.75879,19,'oracle.sql.BLOB@1f767676')"
57,1000000385034G00110000000000100469,송림시,"SDE.ST_GEOMETRY(8,397,833121.0499,2079431.672,843303.951,2091265.937,NULL,NULL,NULL,NULL,66751090.86,51849.43321,19,'oracle.sql.BLOB@54da4ea0')"
58,1000000385041G00110000000000100450,역포구역,"SDE.ST_GEOMETRY(8,795,847308.0027,2098400.6,865465.5237,2110639.231,NULL,NULL,NULL,NULL,122538510.2,59110.5688,19,'oracle.sql.BLOB@196956ae')"
59,1000000385043G00110000000000100456,중화군,"SDE.ST_GEOMETRY(8,1445,840935.1509,2086506.491,869008.6075,2104842.459,NULL,NULL,NULL,NULL,232873381.6,105244.7028,19,'oracle.sql.BLOB@71b2ee97')"
60,1000000385051G00110000000000100473,은율군,"SDE.ST_GEOMETRY(264,2614,785927.8733,2048345.633,815022.3504,2084258.583,NULL,NULL,NULL,NULL,418262145.9,145242.3935,19,'oracle.sql.BLOB@5ddbf311')"
61,1000000385062G00110000000000100466,남포특급시,"SDE.ST_GEOMETRY(264,2962,761291.7847,2058810.776,837370.9911,2093229.687,NULL,NULL,NULL,NULL,376449163.9,193340.3881,19,'oracle.sql.BLOB@5b721944')"
62,1000000385064G00110000000000100477,은천군,"SDE.ST_GEOMETRY(8,1011,807175.9952,2058919.992,839228.304,2082263.644,NULL,NULL,NULL,NULL,457662086.4,106231.8113,19,'oracle.sql.BLOB@87de8a2')"
63,1000000385064G00110000000000100504,안악군,"SDE.ST_GEOMETRY(8,1306,804952.1251,2047567.798,839096.6381,2069559.288,NULL,NULL,NULL,NULL,398471540.9,106710.3553,19,'oracle.sql.BLOB@6edd696c')"
64,1000000385081G00110000000000100464,황주군,"SDE.ST_GEOMETRY(8,1227,835637.9851,2065240.317,865473.2485,2094782.994,NULL,NULL,NULL,NULL,516542067.6,141798.6506,19,'oracle.sql.BLOB@6c1c4cdd')"
65,1000000385042G00110000000000100441,사동구역,"SDE.ST_GEOMETRY(8,494,851344.713,2101632.187,869435.8935,2116990.49,NULL,NULL,NULL,NULL,124739214,56319.18241,19,'oracle.sql.BLOB@276fc023')"
