fid,tile_id,country_iso3,admin1_code,admin1_name_ko,admin1_name_en,area_km2,land_ratio,is_coastal,center_x,center_y,neighbor_ids,population,city_name_ko,city_name_en,city_class,is_capital,map_class,tile_name_code,tile_name_ko,tile_name_en,tile_name_method,tile_name_population,tile_name_overlap_km2,tile_name_previous_code,tile_name_previous_population,district_slots,district_1,district_2,district_3,primary_industry,terrain,source_year,manual_override,assignment_method,overlap_km2,assignment_score
24,KOR_P_R100030_C100022,KOR,KR-48,경남,Gyeongnam,605.209986728157,0.9732791569363319,True,1081581.265167328,1686814.75,"[""KOR_P_R100030_C100021"",""KOR_P_R100030_C100023"",""KOR_P_R100031_C100021"",""KOR_P_R100031_C100022""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:changwon,창원,Changwon,dominant_overlap,1001902,210.02083110775476,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,589.0382656522293,0.9732791569363319
25,KOR_P_R100030_C100023,KOR,KR-48,경남,Gyeongnam,605.2099867281532,0.7871984465114036,True,1108016.7772203884,1686814.75,"[""KOR_P_R100030_C100022"",""KOR_P_R100030_C100024"",""KOR_P_R100031_C100022"",""KOR_P_R100031_C100023""]",1025702,창원,Changwon,metropolis,False,metropolis,KR-48:changwon,창원,Changwon,dominant_overlap,1001902,352.79675546973994,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,476.4203613655894,0.7871984465114036
26,KOR_P_R100030_C100024,KOR,KR-26,부산,Busan,605.2099867281541,0.880672079570936,True,1134452.2892734488,1686814.75,"[""KOR_P_R100030_C100023"",""KOR_P_R100031_C100023"",""KOR_P_R100031_C100024""]",3285147,부산,Busan,metropolis,False,metropolis,KR-26:busan,부산,Busan,dominant_overlap,3285147,271.77960195609904,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,2022,False,minimum_representation,235.6511860795288,0.389370947682953
27,KOR_P_R100031_C100015,KOR,KR-45,전북,Jeonbuk,605.2099867281504,0.8368528607189455,True,909750.4368224356,1709708.575,"[""KOR_P_R100030_C100016"",""KOR_P_R100031_C100016"",""KOR_P_R100032_C100016""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:gochang,고창,Gochang,dominant_overlap,72996,291.79394529542924,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,285.4739244701383,0.4716940082457168
28,KOR_P_R100031_C100016,KOR,KR-46,전남,Jeonnam,605.2099867281494,1.000000000000009,False,936185.9488754959,1709708.575,"[""KOR_P_R100030_C100016"",""KOR_P_R100030_C100017"",""KOR_P_R100031_C100015"",""KOR_P_R100031_C100017"",""KOR_P_R100032_C100016"",""KOR_P_R100032_C100017""]",NULL,NULL,NULL,NULL,False,KR-46,KR-46:jangseong,장성,Jangseong,dominant_overlap,55986,361.89295085150815,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,341.5214299491434,0.5643023701499977
29,KOR_P_R100031_C100017,KOR,KR-45,전북,Jeonbuk,605.2099867281504,0.999999999999989,False,962621.4609285563,1709708.575,"[""KOR_P_R100030_C100017"",""KOR_P_R100031_C100016"",""KOR_P_R100032_C100017""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:sunchang,순창,Sunchang,dominant_overlap,26803,342.1166216258869,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,392.8742258576579,0.6491535739216578
30,KOR_P_R100031_C100018,KOR,KR-45,전북,Jeonbuk,605.2099867281513,1.0000000000000044,False,989056.9729816167,1709708.575,"[""KOR_P_R100030_C100018"",""KOR_P_R100030_C100019"",""KOR_P_R100031_C100019"",""KOR_P_R100032_C100018"",""KOR_P_R100032_C100019""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:namwon,남원,Namwon,dominant_overlap,87000,422.0011443569132,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,546.4327017758436,0.9028811714260272
31,KOR_P_R100031_C100019,KOR,KR-48,경남,Gyeongnam,605.2099867281513,1.0000000000000087,False,1015492.4850346771,1709708.575,"[""KOR_P_R100030_C100019"",""KOR_P_R100030_C100020"",""KOR_P_R100031_C100018"",""KOR_P_R100031_C100020"",""KOR_P_R100032_C100019"",""KOR_P_R100032_C100020""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:hamyang,함양,Hamyang,dominant_overlap,NULL,219.86079411267423,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,333.5981371317439,0.5512105623623653
32,KOR_P_R100031_C100020,KOR,KR-48,경남,Gyeongnam,605.2099867281513,1.0,False,1041927.9970877374,1709708.575,"[""KOR_P_R100030_C100020"",""KOR_P_R100031_C100019"",""KOR_P_R100031_C100021"",""KOR_P_R100032_C100020""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:sancheong,산청,Sancheong,dominant_overlap,39863,463.162742179737,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281513,1.0
33,KOR_P_R100031_C100021,KOR,KR-48,경남,Gyeongnam,605.2099867281523,0.9999999999999984,False,1068363.509140798,1709708.575,"[""KOR_P_R100030_C100021"",""KOR_P_R100030_C100022"",""KOR_P_R100031_C100020"",""KOR_P_R100031_C100022"",""KOR_P_R100032_C100021"",""KOR_P_R100032_C100022""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:uiryeong,의령,Uiryeong,dominant_overlap,32371,416.22616151807404,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281513,0.9999999999999984
34,KOR_P_R100031_C100022,KOR,KR-48,경남,Gyeongnam,605.2099867281504,1.0000000000000078,False,1094799.0211938582,1709708.575,"[""KOR_P_R100030_C100022"",""KOR_P_R100030_C100023"",""KOR_P_R100031_C100021"",""KOR_P_R100031_C100023"",""KOR_P_R100032_C100022"",""KOR_P_R100032_C100023""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:changnyeong,창녕,Changnyeong,dominant_overlap,74668,222.03335060707832,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281552,1.0000000000000078
35,KOR_P_R100031_C100023,KOR,KR-48,경남,Gyeongnam,605.2099867281504,1.0000000000000047,False,1121234.5332469186,1709708.575,"[""KOR_P_R100030_C100023"",""KOR_P_R100030_C100024"",""KOR_P_R100031_C100022"",""KOR_P_R100031_C100024"",""KOR_P_R100032_C100023"",""KOR_P_R100032_C100024""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:gimhae,김해,Gimhae,population_representation,531966,222.44405545585917,KR-48:miryang,108621,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281532,1.0000000000000047
36,KOR_P_R100031_C100024,KOR,KR-48,경남,Gyeongnam,605.2099867281504,0.9990463402210468,False,1147670.045299979,1709708.575,"[""KOR_P_R100030_C100024"",""KOR_P_R100031_C100023"",""KOR_P_R100032_C100024"",""KOR_P_R100032_C100025""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:yangsan,양산,Yangsan,dominant_overlap,NULL,333.12547579694274,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,402.76095701357747,0.665489608310926
37,KOR_P_R100032_C100016,KOR,KR-45,전북,Jeonbuk,605.2099867281541,0.8849725192540093,True,922968.1928489658,1732602.4,"[""KOR_P_R100031_C100015"",""KOR_P_R100031_C100016"",""KOR_P_R100032_C100017"",""KOR_P_R100033_C100016""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:buan,부안,Buan,dominant_overlap,74716,266.07850206882097,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,535.5942066325001,0.8849725192540093
38,KOR_P_R100032_C100017,KOR,KR-45,전북,Jeonbuk,605.2099867281552,1.0000000000000062,False,949403.7049020261,1732602.4,"[""KOR_P_R100031_C100016"",""KOR_P_R100031_C100017"",""KOR_P_R100032_C100016"",""KOR_P_R100033_C100016"",""KOR_P_R100033_C100017""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:jeongeup,정읍,Jeongeup,dominant_overlap,139876,523.0397980502039,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281589,1.0000000000000062
39,KOR_P_R100032_C100018,KOR,KR-45,전북,Jeonbuk,605.2099867281561,1.000000000000003,False,975839.2169550866,1732602.4,"[""KOR_P_R100031_C100018"",""KOR_P_R100032_C100019"",""KOR_P_R100033_C100018""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:imsil,임실,Imsil,dominant_overlap,37514,521.5551202772231,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.209986728158,1.000000000000003
40,KOR_P_R100032_C100019,KOR,KR-45,전북,Jeonbuk,605.2099867281541,1.0,False,1002274.7290081469,1732602.4,"[""KOR_P_R100031_C100018"",""KOR_P_R100031_C100019"",""KOR_P_R100032_C100018"",""KOR_P_R100032_C100020"",""KOR_P_R100033_C100018"",""KOR_P_R100033_C100019""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:jangsu,장수,Jangsu,dominant_overlap,26463,349.87706642836883,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,573.6657220167856,0.9478788099946912
41,KOR_P_R100032_C100020,KOR,KR-48,경남,Gyeongnam,605.2099867281552,0.9999999999999974,False,1028710.2410612073,1732602.4,"[""KOR_P_R100031_C100019"",""KOR_P_R100031_C100020"",""KOR_P_R100032_C100019"",""KOR_P_R100033_C100019"",""KOR_P_R100033_C100020""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:hamyang,함양,Hamyang,dominant_overlap,NULL,349.42350261506846,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,604.029921389679,0.998050155542119
42,KOR_P_R100032_C100021,KOR,KR-48,경남,Gyeongnam,605.2099867281552,0.9999999999999952,False,1055145.7531142677,1732602.4,"[""KOR_P_R100031_C100021"",""KOR_P_R100032_C100022"",""KOR_P_R100033_C100021""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:hapcheon,합천,Hapcheon,dominant_overlap,60160,511.85173255896495,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,581.1119528481331,0.9601823591671063
43,KOR_P_R100032_C100022,KOR,KR-48,경남,Gyeongnam,605.209986728157,1.000000000000003,False,1081581.265167328,1732602.4,"[""KOR_P_R100031_C100021"",""KOR_P_R100031_C100022"",""KOR_P_R100032_C100021"",""KOR_P_R100032_C100023"",""KOR_P_R100033_C100021"",""KOR_P_R100033_C100022""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:changnyeong,창녕,Changnyeong,dominant_overlap,74668,254.38152164945436,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,351.4698701031599,0.5807403674933574
44,KOR_P_R100032_C100023,KOR,KR-47,경북,Gyeongbuk,605.2099867281532,0.9999999999999964,False,1108016.7772203884,1732602.4,"[""KOR_P_R100031_C100022"",""KOR_P_R100031_C100023"",""KOR_P_R100032_C100022"",""KOR_P_R100032_C100024"",""KOR_P_R100033_C100022"",""KOR_P_R100033_C100023""]",NULL,NULL,NULL,NULL,False,KR-47,KR-47:cheongdo,청도,Cheongdo,dominant_overlap,47099,315.41046801131677,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,402.0571561324961,0.6643267046964497
45,KOR_P_R100032_C100024,KOR,KR-47,경북,Gyeongbuk,605.2099867281541,0.9999999999999898,False,1134452.2892734488,1732602.4,"[""KOR_P_R100031_C100023"",""KOR_P_R100031_C100024"",""KOR_P_R100032_C100023"",""KOR_P_R100032_C100025"",""KOR_P_R100033_C100023"",""KOR_P_R100033_C100024""]",NULL,NULL,NULL,NULL,False,KR-47,KR-48:miryang,밀양,Miryang,dominant_overlap,108621,208.6764115393486,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,251.56957304330254,0.41567320196304286
46,KOR_P_R100032_C100025,KOR,KR-31,울산,Ulsan,605.2099867281541,0.9870200798642372,True,1160887.801326509,1732602.4,"[""KOR_P_R100031_C100024"",""KOR_P_R100032_C100024"",""KOR_P_R100033_C100024"",""KOR_P_R100033_C100025""]",1098421,울산,Ulsan,metropolis,False,metropolis,KR-31:ulsan,울산,Ulsan,dominant_overlap,1098421,555.6325679030681,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,478.99373197561266,0.7914504758342085
47,KOR_P_R100033_C100016,KOR,KR-45,전북,Jeonbuk,605.2099867281494,0.8124788797873302,True,936185.9488754959,1755496.2249999999,"[""KOR_P_R100032_C100016"",""KOR_P_R100032_C100017"",""KOR_P_R100033_C100017"",""KOR_P_R100034_C100016"",""KOR_P_R100034_C100017""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:gimje,김제,Gimje,dominant_overlap,93111,278.6470908237648,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,491.72033205299186,0.8124788797873302
48,KOR_P_R100033_C100017,KOR,KR-45,전북,Jeonbuk,605.2099867281504,0.9999999999999969,False,962621.4609285563,1755496.2249999999,"[""KOR_P_R100032_C100017"",""KOR_P_R100033_C100016"",""KOR_P_R100034_C100017""]",654040,전주,Jeonju,city,False,city,KR-45:jeonju,전주,Jeonju,dominant_overlap,654040,210.6191006713612,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281485,0.9999999999999969
49,KOR_P_R100033_C100018,KOR,KR-45,전북,Jeonbuk,605.2099867281513,1.0,False,989056.9729816167,1755496.2249999999,"[""KOR_P_R100032_C100018"",""KOR_P_R100032_C100019"",""KOR_P_R100033_C100019"",""KOR_P_R100034_C100018"",""KOR_P_R100034_C100019""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:jinan,진안,Jinan,dominant_overlap,31273,468.4825713939882,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,605.2099867281513,1.0
50,KOR_P_R100033_C100019,KOR,KR-45,전북,Jeonbuk,605.2099867281513,1.0000000000000027,False,1015492.4850346771,1755496.2249999999,"[""KOR_P_R100032_C100019"",""KOR_P_R100032_C100020"",""KOR_P_R100033_C100018"",""KOR_P_R100033_C100020"",""KOR_P_R100034_C100019"",""KOR_P_R100034_C100020""]",NULL,NULL,NULL,NULL,False,KR-45,KR-45:muju,무주,Muju,dominant_overlap,25169,187.2436199104147,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,508.4186940656755,0.84006990171173
51,KOR_P_R100033_C100020,KOR,KR-48,경남,Gyeongnam,605.2099867281532,0.9999999999999992,False,1041927.9970877374,1755496.2249999999,"[""KOR_P_R100032_C100020"",""KOR_P_R100033_C100019"",""KOR_P_R100033_C100021"",""KOR_P_R100034_C100020""]",NULL,NULL,NULL,NULL,False,KR-48,KR-48:geochang,거창,Geochang,dominant_overlap,67224,411.811631698257,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,402.54325673497965,0.6651298979899237
52,KOR_P_R100033_C100021,KOR,KR-47,경북,Gyeongbuk,605.2099867281523,0.999999999999989,False,1068363.509140798,1755496.2249999999,"[""KOR_P_R100032_C100021"",""KOR_P_R100032_C100022"",""KOR_P_R100033_C100020"",""KOR_P_R100033_C100022"",""KOR_P_R100034_C100021"",""KOR_P_R100034_C100022""]",NULL,NULL,NULL,NULL,False,KR-47,KR-47:seongju,성주,Seongju,dominant_overlap,51028,284.4751575313053,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,2022,False,dominant_overlap,547.3820068684043,0.9044497263299077
